cultivar,block,day,biomass_Mg_ha
C1,1,20,1.3897
C1,1,30,2.3991
C1,1,40,5.7581
C1,1,50,8.3958
C1,1,60,13.238
C1,1,75,16.8162
C1,1,90,17.2206
C1,1,105,18.8268
C1,2,20,0.7705
C1,2,30,1.6635
C1,2,40,4.6553
C1,2,50,7.8337
C1,2,60,13.1487
C1,2,75,16.8722
C1,2,90,18.0449
C1,2,105,16.3539
C1,3,20,0.6248
C1,3,30,1.7918
C1,3,40,4.3126
C1,3,50,8.078
C1,3,60,12.1338
C1,3,75,17.404
C1,3,90,18.3038
C1,3,105,18.1403
C1,4,20,0.8304
C1,4,30,2.1036
C1,4,40,5.1948
C1,4,50,8.7164
C1,4,60,11.7147
C1,4,75,15.7846
C1,4,90,17.1993
C1,4,105,19.2879
C2,1,20,0.6359
C2,1,30,1.626
C2,1,40,4.0833
C2,1,50,8.3603
C2,1,60,11.8745
C2,1,75,16.9809
C2,1,90,20.2359
C2,1,105,20.5674
C2,2,20,1.6581
C2,2,30,2.0541
C2,2,40,4.3993
C2,2,50,9.0216
C2,2,60,12.8996
C2,2,75,18.1309
C2,2,90,18.9676
C2,2,105,21.411
C2,3,20,0.1
C2,3,30,1.4992
C2,3,40,4.6336
C2,3,50,8.643
C2,3,60,12.5524
C2,3,75,17.9945
C2,3,90,18.9904
C2,3,105,21.3261
C2,4,20,0.1184
C2,4,30,2.2774
C2,4,40,3.7505
C2,4,50,7.612
C2,4,60,12.5197
C2,4,75,17.2573
C2,4,90,19.9578
C2,4,105,19.8135
C3,1,20,0.1
C3,1,30,1.5955
C3,1,40,5.1433
C3,1,50,10.6847
C3,1,60,13.8851
C3,1,75,18.9539
C3,1,90,18.9862
C3,1,105,18.5244
C3,2,20,0.1137
C3,2,30,2.5444
C3,2,40,4.8764
C3,2,50,9.4091
C3,2,60,13.8775
C3,2,75,18.857
C3,2,90,19.3557
C3,2,105,19.8873
C3,3,20,0.2181
C3,3,30,2.0772
C3,3,40,5.8629
C3,3,50,10.4533
C3,3,60,14.1196
C3,3,75,18.3257
C3,3,90,19.4302
C3,3,105,19.2428
C3,4,20,0.7156
C3,4,30,2.1266
C3,4,40,5.1376
C3,4,50,9.7535
C3,4,60,16.2003
C3,4,75,20.0087
C3,4,90,18.415
C3,4,105,19.7834
