row_id,day_after_flowering,fruit_length,fruit_diameter
1,1,1.966666667,6.9
2,1,1.433333333,7.7
3,1,1.5,7.933333333
4,1,1.1,8.033333333
5,1,1.4,8.1
6,1,1.433333333,8.2
7,1,1.3,8.266666667
8,1,1.333333333,8.333333333
9,1,1.333333333,8.366666667
10,1,1.633333333,8.366666667
11,1,1.6,8.466666667
12,1,1.166666667,8.533333333
13,1,1.5,8.566666667
14,1,1.7,8.666666667
15,1,2.4,8.7
16,1,1.833333333,8.7
17,1,1.833333333,8.733333333
18,1,1.433333333,8.866666667
19,1,1.666666667,8.9
20,1,2.233333333,8.9
21,1,1.166666667,9.0
22,1,1.833333333,9.0
23,1,1.666666667,9.166666667
24,1,2.5,9.233333333
25,1,2.166666667,9.266666667
26,1,1.833333333,9.333333333
27,1,1.666666667,9.433333333
28,1,1.0,9.433333333
29,1,1.833333333,9.466666667
30,1,2.066666667,9.6
31,1,3.333333333,9.6
32,1,2.333333333,9.6
33,1,2.833333333,9.7
34,1,2.166666667,9.8
35,1,1.833333333,9.833333333
36,1,2.333333333,9.933333333
37,1,1.666666667,9.933333333
38,1,2.5,9.966666667
39,1,2.666666667,9.966666667
40,1,2.333333333,9.966666667
41,1,2.166666667,10.13333333
42,1,2.5,10.2
43,1,2.666666667,10.26666667
44,1,3.333333333,10.33333333
45,1,2.566666667,10.45
46,1,2.5,10.5
47,1,2.666666667,10.53333333
48,1,2.833333333,10.8
49,1,2.333333333,10.83333333
50,1,2.666666667,10.86666667
51,1,3.166666667,10.93333333
52,1,3.666666667,11.23333333
53,1,3.366666667,11.45
54,3,1.833333333,9.5
55,3,3.7,9.7
56,3,2.733333333,9.7
57,3,2.7,10.13333333
58,3,3.566666667,10.4
59,3,3.633333333,10.73333333
60,3,4.266666667,10.93333333
61,3,3.266666667,10.96666667
62,3,4.233333333,11.1
63,3,3.333333333,11.3
64,3,3.5,11.33333333
65,3,3.333333333,11.4
66,3,4.166666667,11.4
67,3,4.766666667,11.43333333
68,3,3.733333333,11.46666667
69,3,3.4,11.5
70,3,3.9,11.5
71,3,3.566666667,11.53333333
72,3,3.766666667,11.6
73,3,4.0,11.6
74,3,5.466666667,11.7
75,3,5.5,11.7
76,3,6.166666667,11.7
77,3,3.766666667,11.73333333
78,3,3.9,11.93333333
79,3,3.733333333,11.95
80,3,5.666666667,12.0
81,3,4.566666667,12.03333333
82,3,4.133333333,12.1
83,3,4.7,12.16666667
84,3,5.833333333,12.23333333
85,3,5.033333333,12.26666667
86,3,4.966666667,12.26666667
87,3,4.366666667,12.36666667
88,3,5.2,12.43333333
89,3,5.666666667,12.46666667
90,3,5.7,12.56666667
91,3,6.366666667,12.63333333
92,3,5.5,12.63333333
93,3,4.0,12.63333333
94,3,4.833333333,12.66666667
95,3,5.966666667,12.7
96,3,6.233333333,12.7
97,3,5.1,12.7
98,3,5.666666667,12.7
99,3,4.466666667,13.13333333
100,3,5.966666667,13.23333333
101,3,4.533333333,13.23333333
102,3,6.0,13.8
103,3,5.933333333,14.03333333
104,3,2.366666667,14.1
105,3,6.466666667,14.33333333
106,3,6.6,14.76666667
107,5,4.5,10.2
108,5,4.25,10.7
109,5,5.5,12.3
110,5,7.133333333,12.63333333
111,5,6.4,12.7
112,5,9.333333333,13.2
113,5,6.933333333,13.36666667
114,5,6.55,13.5
115,5,7.133333333,13.6
116,5,8.5,13.6
117,5,7.833333333,13.76666667
118,5,9.433333333,13.83333333
119,5,8.233333333,13.86666667
120,5,7.166666667,13.9
121,5,8.466666667,13.9
122,5,9.166666667,14.1
123,5,7.866666667,14.3
124,5,7.766666667,14.36666667
125,5,8.6,14.4
126,5,6.666666667,14.4
127,5,8.033333333,14.45
128,5,7.1,14.5
129,5,9.333333333,14.53333333
130,5,7.6,14.63333333
131,5,9.3,14.75
132,5,9.2,14.8
133,5,11.96666667,14.86666667
134,5,8.833333333,14.9
135,5,10.16666667,14.93333333
136,5,10.7,14.96666667
137,5,8.8,14.96666667
138,5,10.66666667,15.0
139,5,12.36666667,15.0
140,5,8.466666667,15.13333333
141,5,10.2,15.13333333
142,5,12.26666667,15.16666667
143,5,10.03333333,15.2
144,5,11.56666667,15.23333333
145,5,10.45,15.25
146,5,10.3,15.3
147,5,12.23333333,15.3
148,5,10.7,15.33333333
149,5,10.8,15.36666667
150,5,11.83333333,15.5
151,5,11.63333333,15.53333333
152,5,10.9,15.66666667
153,5,11.46666667,15.76666667
154,5,12.9,16.05
155,5,12.76666667,16.1
156,5,11.53333333,16.23333333
157,5,12.4,16.33333333
158,5,13.93333333,17.2
159,5,12.7,17.23333333
160,7,3.95,11.0
161,7,9.433333333,15.03333333
162,7,12.1,15.1
163,7,12.03333333,15.56666667
164,7,11.96666667,15.73333333
165,7,11.86666667,15.83333333
166,7,9.9,16.2
167,7,11.13333333,16.3
168,7,11.56666667,16.4
169,7,11.6,16.45
170,7,12.83333333,16.83333333
171,7,16.53333333,16.93333333
172,7,10.15,16.95
173,7,12.93333333,16.96666667
174,7,11.96666667,17.0
175,7,11.56666667,17.06666667
176,7,13.76666667,17.33333333
177,7,13.16666667,17.4
178,7,15.4,17.46666667
179,7,12.66666667,17.6
180,7,15.56666667,17.7
181,7,15.7,17.73333333
182,7,12.85,17.9
183,7,15.8,18.0
184,7,19.36666667,18.26666667
185,7,12.13333333,18.4
186,7,15.26666667,18.43333333
187,7,14.53333333,18.46666667
188,7,15.0,18.6
189,7,16.93333333,18.7
190,7,14.7,18.8
191,7,15.93333333,18.8
192,7,14.85,18.8
193,7,15.8,18.96666667
194,7,15.56666667,19.0
195,7,16.73333333,19.0
196,7,15.53333333,19.03333333
197,7,18.13333333,19.1
198,7,17.03333333,19.33333333
199,7,15.7,19.36666667
200,7,16.5,19.4
201,7,17.4,19.5
202,7,16.56666667,19.73333333
203,7,15.9,19.76666667
204,7,17.76666667,19.76666667
205,7,19.06666667,19.83333333
206,7,19.26666667,19.86666667
207,7,19.3,20.06666667
208,7,16.86666667,20.53333333
209,7,18.0,20.96666667
210,7,16.83333333,22.03333333
211,7,19.03333333,22.06666667
212,7,17.93333333,22.23333333
213,9,4.5,11.45
214,9,10.05,16.05
215,9,16.1,17.6
216,9,14.5,17.7
217,9,12.8,17.9
218,9,12.1,18.1
219,9,14.63333333,18.46666667
220,9,14.83333333,18.76666667
221,9,11.55,18.95
222,9,13.8,19.0
223,9,13.96666667,19.13333333
224,9,16.6,19.2
225,9,14.03333333,19.43333333
226,9,19.36666667,19.53333333
227,9,15.63333333,19.63333333
228,9,18.7,20.0
229,9,20.6,20.03333333
230,9,17.03333333,20.16666667
231,9,14.73333333,20.16666667
232,9,16.2,20.36666667
233,9,20.06666667,20.43333333
234,9,21.55,20.5
235,9,19.1,20.56666667
236,9,19.33333333,20.56666667
237,9,14.6,20.7
238,9,18.93333333,21.03333333
239,9,19.33333333,21.3
240,9,18.0,21.33333333
241,9,20.73333333,21.4
242,9,19.63333333,21.5
243,9,20.3,21.53333333
244,9,19.56666667,21.53333333
245,9,16.96666667,21.56666667
246,9,19.26666667,21.56666667
247,9,22.03333333,21.6
248,9,20.53333333,21.73333333
249,9,18.7,21.93333333
250,9,19.06666667,22.03333333
251,9,17.2,22.06666667
252,9,21.0,22.1
253,9,21.83333333,22.2
254,9,19.83333333,22.46666667
255,9,18.0,22.56666667
256,9,21.83333333,22.7
257,9,22.0,22.86666667
258,9,19.2,22.96666667
259,9,18.63333333,23.4
260,9,22.2,23.6
261,9,18.4,24.03333333
262,9,19.13333333,24.2
263,9,19.53333333,24.26666667
264,9,20.53333333,24.36666667
265,9,20.66666667,25.03333333
266,11,4.0,12.45
267,11,9.85,17.45
268,11,14.2,19.0
269,11,12.56666667,19.63333333
270,11,19.33333333,20.2
271,11,14.8,20.6
272,11,20.8,20.76666667
273,11,20.85,20.8
274,11,12.95,20.95
275,11,17.53333333,21.3
276,11,13.15,21.45
277,11,18.03333333,21.6
278,11,15.05,21.6
279,11,20.0,21.76666667
280,11,19.26666667,21.83333333
281,11,11.7,21.9
282,11,18.66666667,22.06666667
283,11,19.33333333,22.23333333
284,11,13.13333333,22.23333333
285,11,20.83333333,22.4
286,11,14.96666667,22.53333333
287,11,16.96666667,22.56666667
288,11,21.06666667,22.6
289,11,15.06666667,22.66666667
290,11,22.5,22.66666667
291,11,15.76666667,22.73333333
292,11,19.5,22.86666667
293,11,20.46666667,22.96666667
294,11,19.16666667,23.0
295,11,21.26666667,23.06666667
296,11,18.83333333,23.13333333
297,11,18.13333333,23.13333333
298,11,19.3,23.3
299,11,18.46666667,23.33333333
300,11,14.43333333,23.36666667
301,11,21.53333333,23.36666667
302,11,16.36666667,23.36666667
303,11,22.1,23.4
304,11,20.43333333,23.43333333
305,11,13.9,23.56666667
306,11,14.83333333,23.56666667
307,11,20.06666667,23.6
308,11,19.43333333,23.63333333
309,11,18.73333333,23.96666667
310,11,17.4,24.03333333
311,11,22.73333333,24.06666667
312,11,20.56666667,24.1
313,11,20.4,24.4
314,11,17.46666667,24.53333333
315,11,22.0,24.56666667
316,11,18.16666667,24.63333333
317,11,20.33333333,25.26666667
318,11,22.1,25.4
319,15,4.15,11.45
320,15,10.05,18.2
321,15,19.7,19.5
322,15,19.33333333,19.7
323,15,12.5,19.76666667
324,15,14.4,19.8
325,15,17.66666667,20.63333333
326,15,12.8,20.65
327,15,20.13333333,20.9
328,15,21.73333333,21.2
329,15,15.16666667,21.7
330,15,17.63333333,21.76666667
331,15,19.16666667,21.76666667
332,15,21.3,21.86666667
333,15,15.05,21.9
334,15,19.66666667,22.0
335,15,19.03333333,22.06666667
336,15,18.83333333,22.06666667
337,15,18.3,22.06666667
338,15,13.2,22.1
339,15,19.6,22.13333333
340,15,19.73333333,22.26666667
341,15,20.73333333,22.46666667
342,15,19.3,22.5
343,15,21.1,22.6
344,15,20.73333333,22.63333333
345,15,20.46666667,22.7
346,15,18.06666667,22.83333333
347,15,13.23333333,22.86666667
348,15,18.63333333,22.9
349,15,19.23333333,22.9
350,15,18.33333333,23.0
351,15,22.06666667,23.03333333
352,15,11.9,23.05
353,15,15.1,23.1
354,15,20.33333333,23.13333333
355,15,21.73333333,23.23333333
356,15,20.86666667,23.5
357,15,21.4,23.56666667
358,15,19.46666667,23.56666667
359,15,14.86666667,23.76666667
