water_regime,plant_id,PAR_umol_m2_s,A_umol_CO2_m2_s
WellWatered,WellWatered_1,0,-1.3225
WellWatered,WellWatered_1,50,1.8785
WellWatered,WellWatered_1,100,5.1516
WellWatered,WellWatered_1,200,12.844
WellWatered,WellWatered_1,400,19.0084
WellWatered,WellWatered_1,700,23.4633
WellWatered,WellWatered_1,1000,27.675
WellWatered,WellWatered_1,1400,25.2566
WellWatered,WellWatered_1,1800,26.6973
WellWatered,WellWatered_2,0,-1.4634
WellWatered,WellWatered_2,50,1.944
WellWatered,WellWatered_2,100,6.5493
WellWatered,WellWatered_2,200,12.2816
WellWatered,WellWatered_2,400,19.9167
WellWatered,WellWatered_2,700,24.2253
WellWatered,WellWatered_2,1000,29.656
WellWatered,WellWatered_2,1400,28.8981
WellWatered,WellWatered_2,1800,29.6233
WellWatered,WellWatered_3,0,-0.3023
WellWatered,WellWatered_3,50,1.7478
WellWatered,WellWatered_3,100,4.5969
WellWatered,WellWatered_3,200,11.6777
WellWatered,WellWatered_3,400,19.9999
WellWatered,WellWatered_3,700,23.9397
WellWatered,WellWatered_3,1000,27.0114
WellWatered,WellWatered_3,1400,26.6905
WellWatered,WellWatered_3,1800,27.2465
WellWatered,WellWatered_4,0,-0.0257
WellWatered,WellWatered_4,50,2.7242
WellWatered,WellWatered_4,100,4.066
WellWatered,WellWatered_4,200,11.7068
WellWatered,WellWatered_4,400,19.302
WellWatered,WellWatered_4,700,26.4633
WellWatered,WellWatered_4,1000,29.172
WellWatered,WellWatered_4,1400,28.8618
WellWatered,WellWatered_4,1800,27.6086
WellWatered,WellWatered_5,0,-0.9946
WellWatered,WellWatered_5,50,3.2902
WellWatered,WellWatered_5,100,5.5985
WellWatered,WellWatered_5,200,12.201
WellWatered,WellWatered_5,400,19.8862
WellWatered,WellWatered_5,700,23.8382
WellWatered,WellWatered_5,1000,26.1827
WellWatered,WellWatered_5,1400,25.9698
WellWatered,WellWatered_5,1800,28.6987
WellWatered,WellWatered_6,0,-1.4529
WellWatered,WellWatered_6,50,1.3155
WellWatered,WellWatered_6,100,5.8527
WellWatered,WellWatered_6,200,12.3255
WellWatered,WellWatered_6,400,20.6485
WellWatered,WellWatered_6,700,24.2086
WellWatered,WellWatered_6,1000,29.1672
WellWatered,WellWatered_6,1400,27.5005
WellWatered,WellWatered_6,1800,26.022
ModerateDeficit,ModerateDeficit_1,0,-0.9478
ModerateDeficit,ModerateDeficit_1,50,1.649
ModerateDeficit,ModerateDeficit_1,100,4.3563
ModerateDeficit,ModerateDeficit_1,200,7.9387
ModerateDeficit,ModerateDeficit_1,400,15.0821
ModerateDeficit,ModerateDeficit_1,700,19.0037
ModerateDeficit,ModerateDeficit_1,1000,20.5425
ModerateDeficit,ModerateDeficit_1,1400,18.477
ModerateDeficit,ModerateDeficit_1,1800,21.64
ModerateDeficit,ModerateDeficit_2,0,-2.5185
ModerateDeficit,ModerateDeficit_2,50,1.7517
ModerateDeficit,ModerateDeficit_2,100,4.2465
ModerateDeficit,ModerateDeficit_2,200,9.4782
ModerateDeficit,ModerateDeficit_2,400,16.028
ModerateDeficit,ModerateDeficit_2,700,19.1097
ModerateDeficit,ModerateDeficit_2,1000,21.3611
ModerateDeficit,ModerateDeficit_2,1400,21.1208
ModerateDeficit,ModerateDeficit_2,1800,22.161
ModerateDeficit,ModerateDeficit_3,0,-1.9336
ModerateDeficit,ModerateDeficit_3,50,1.1156
ModerateDeficit,ModerateDeficit_3,100,4.2464
ModerateDeficit,ModerateDeficit_3,200,10.5474
ModerateDeficit,ModerateDeficit_3,400,15.5138
ModerateDeficit,ModerateDeficit_3,700,18.6792
ModerateDeficit,ModerateDeficit_3,1000,20.7076
ModerateDeficit,ModerateDeficit_3,1400,21.2248
ModerateDeficit,ModerateDeficit_3,1800,20.294
ModerateDeficit,ModerateDeficit_4,0,-1.4075
ModerateDeficit,ModerateDeficit_4,50,1.9526
ModerateDeficit,ModerateDeficit_4,100,3.0049
ModerateDeficit,ModerateDeficit_4,200,8.0409
ModerateDeficit,ModerateDeficit_4,400,16.607
ModerateDeficit,ModerateDeficit_4,700,18.7654
ModerateDeficit,ModerateDeficit_4,1000,20.7072
ModerateDeficit,ModerateDeficit_4,1400,21.1105
ModerateDeficit,ModerateDeficit_4,1800,20.8246
ModerateDeficit,ModerateDeficit_5,0,-1.8211
ModerateDeficit,ModerateDeficit_5,50,1.9419
ModerateDeficit,ModerateDeficit_5,100,4.3838
ModerateDeficit,ModerateDeficit_5,200,8.7947
ModerateDeficit,ModerateDeficit_5,400,14.2086
ModerateDeficit,ModerateDeficit_5,700,21.4083
ModerateDeficit,ModerateDeficit_5,1000,22.5043
ModerateDeficit,ModerateDeficit_5,1400,20.1976
ModerateDeficit,ModerateDeficit_5,1800,21.5445
ModerateDeficit,ModerateDeficit_6,0,-1.6154
ModerateDeficit,ModerateDeficit_6,50,1.9785
ModerateDeficit,ModerateDeficit_6,100,3.247
ModerateDeficit,ModerateDeficit_6,200,10.3351
ModerateDeficit,ModerateDeficit_6,400,16.4308
ModerateDeficit,ModerateDeficit_6,700,19.7112
ModerateDeficit,ModerateDeficit_6,1000,20.5962
ModerateDeficit,ModerateDeficit_6,1400,22.2379
ModerateDeficit,ModerateDeficit_6,1800,21.0394
SevereDeficit,SevereDeficit_1,0,-1.6899
SevereDeficit,SevereDeficit_1,50,1.1113
SevereDeficit,SevereDeficit_1,100,2.8989
SevereDeficit,SevereDeficit_1,200,6.506
SevereDeficit,SevereDeficit_1,400,9.5958
SevereDeficit,SevereDeficit_1,700,10.9369
SevereDeficit,SevereDeficit_1,1000,11.9753
SevereDeficit,SevereDeficit_1,1400,11.2776
SevereDeficit,SevereDeficit_1,1800,13.0792
SevereDeficit,SevereDeficit_2,0,-2.024
SevereDeficit,SevereDeficit_2,50,-0.3376
SevereDeficit,SevereDeficit_2,100,2.9871
SevereDeficit,SevereDeficit_2,200,6.6619
SevereDeficit,SevereDeficit_2,400,11.0445
SevereDeficit,SevereDeficit_2,700,13.2706
SevereDeficit,SevereDeficit_2,1000,13.0082
SevereDeficit,SevereDeficit_2,1400,13.8105
SevereDeficit,SevereDeficit_2,1800,13.5751
SevereDeficit,SevereDeficit_3,0,-1.4753
SevereDeficit,SevereDeficit_3,50,-0.6724
SevereDeficit,SevereDeficit_3,100,2.6642
SevereDeficit,SevereDeficit_3,200,6.9686
SevereDeficit,SevereDeficit_3,400,9.8798
SevereDeficit,SevereDeficit_3,700,12.3063
SevereDeficit,SevereDeficit_3,1000,11.5479
SevereDeficit,SevereDeficit_3,1400,13.071
SevereDeficit,SevereDeficit_3,1800,11.9841
SevereDeficit,SevereDeficit_4,0,-1.0557
SevereDeficit,SevereDeficit_4,50,1.3146
SevereDeficit,SevereDeficit_4,100,1.7079
SevereDeficit,SevereDeficit_4,200,5.7323
SevereDeficit,SevereDeficit_4,400,10.9044
SevereDeficit,SevereDeficit_4,700,11.1617
SevereDeficit,SevereDeficit_4,1000,14.1646
SevereDeficit,SevereDeficit_4,1400,12.6077
SevereDeficit,SevereDeficit_4,1800,14.9499
SevereDeficit,SevereDeficit_5,0,-1.852
