day,ET0_mm_d,rain_forecast_mm,temperature_C,PAR_MJ_m2_d
0,4.803880743990658,0.0,25.0,15.0
1,5.093912280250265,8.0,25.74221187776357,15.654389393592304
2,5.2635192717723065,0.0,26.438276615812608,16.236739606139473
3,5.294030345077294,3.0,27.04491628007,16.682941969615793
4,5.182086654873386,0.0,27.52441295442369,16.943875802726627
5,4.940011646259822,0.0,27.846953858066758,16.99081591550353
6,4.594454414626556,0.0,27.992484959812163,16.818594853651362
7,4.183456010477827,8.0,27.95195784062181,16.44617176347665
8,3.752261648261869,0.0,27.727892280477043,15.914545253271625
9,3.3483398368351516,0.0,27.334219590663764,15.282240016119735
10,3.016156756099693,3.0,26.79541643231187,14.618864074249029
11,2.7922811483480094,0.0,26.144982976156996,13.99744590282331
12,2.7013586077726934,0.0,25.4233600241796,13.486395009384143
13,2.75339844293792,8.0,24.675414596409674,13.141970997458476
14,2.9426717909621463,0.0,23.947650316931142,13.002090165804143
