soil_class,block,P2O5_kg_ha,grain_yield_Mg_ha
Sandy,1,0,1.8777
Sandy,1,15,2.9097
Sandy,1,30,3.8756
Sandy,1,60,5.7392
Sandy,1,90,5.5521
Sandy,1,120,6.2292
Sandy,1,180,6.0458
Sandy,2,0,2.1245
Sandy,2,15,3.4239
Sandy,2,30,3.7822
Sandy,2,60,4.9964
Sandy,2,90,6.0569
Sandy,2,120,6.1934
Sandy,2,180,6.5845
Sandy,3,0,1.9903
Sandy,3,15,3.1324
Sandy,3,30,3.8108
Sandy,3,60,4.4231
Sandy,3,90,5.7336
Sandy,3,120,6.3516
Sandy,3,180,6.1749
Sandy,4,0,1.8673
Sandy,4,15,3.4162
Sandy,4,30,3.9609
Sandy,4,60,4.7235
Sandy,4,90,6.4639
Sandy,4,120,6.5564
Sandy,4,180,6.6685
Loamy,1,0,2.6396
Loamy,1,15,4.9
Loamy,1,30,5.7864
Loamy,1,60,7.3416
Loamy,1,90,7.9933
Loamy,1,120,7.5202
Loamy,1,180,8.766
Loamy,2,0,2.8992
Loamy,2,15,4.541
Loamy,2,30,5.4601
Loamy,2,60,6.5334
Loamy,2,90,7.4249
Loamy,2,120,7.9909
Loamy,2,180,8.2569
Loamy,3,0,2.9212
Loamy,3,15,4.6562
Loamy,3,30,5.7587
Loamy,3,60,6.682
Loamy,3,90,6.7376
Loamy,3,120,8.2917
Loamy,3,180,8.8856
Loamy,4,0,2.7405
Loamy,4,15,3.9586
Loamy,4,30,5.4325
Loamy,4,60,6.7848
Loamy,4,90,7.5658
Loamy,4,120,8.2027
Loamy,4,180,8.2023
Clayey,1,0,3.2715
Clayey,1,15,4.8786
Clayey,1,30,6.3204
Clayey,1,60,8.5555
Clayey,1,90,8.5237
Clayey,1,120,8.9365
Clayey,1,180,8.0763
Clayey,2,0,4.5492
Clayey,2,15,5.62
Clayey,2,30,7.2272
Clayey,2,60,8.409
Clayey,2,90,8.573
Clayey,2,120,8.7776
Clayey,2,180,8.7527
Clayey,3,0,3.4949
Clayey,3,15,5.6578
Clayey,3,30,6.7016
Clayey,3,60,8.2561
Clayey,3,90,8.1155
Clayey,3,120,8.5796
Clayey,3,180,9.2555
Clayey,4,0,3.9175
Clayey,4,15,5.7623
Clayey,4,30,6.7236
Clayey,4,60,7.5851
Clayey,4,90,8.4075
Clayey,4,120,8.5895
Clayey,4,180,8.5503
