management,block,time_min,cumulative_infiltration_mm
Conventional,1,1,5.8323
Conventional,1,3,13.4902
Conventional,1,5,16.0858
Conventional,1,10,27.668
Conventional,1,20,46.3408
Conventional,1,30,51.4224
Conventional,1,45,58.4816
Conventional,1,60,71.7074
Conventional,1,90,70.4488
Conventional,1,120,76.425
Conventional,2,1,2.1856
Conventional,2,3,9.8088
Conventional,2,5,13.9143
Conventional,2,10,23.5921
Conventional,2,20,39.4258
Conventional,2,30,44.0871
Conventional,2,45,56.7283
Conventional,2,60,58.0742
Conventional,2,90,67.172
Conventional,2,120,72.976
Conventional,3,1,0.1
Conventional,3,3,3.2553
Conventional,3,5,11.0128
Conventional,3,10,20.254
Conventional,3,20,32.8143
Conventional,3,30,47.6415
Conventional,3,45,60.2438
Conventional,3,60,61.2615
Conventional,3,90,60.9369
Conventional,3,120,66.5999
Conventional,4,1,0.1
Conventional,4,3,6.385
Conventional,4,5,12.5451
Conventional,4,10,30.1137
Conventional,4,20,35.847
Conventional,4,30,45.3595
Conventional,4,45,53.9563
Conventional,4,60,58.1431
Conventional,4,90,66.7614
Conventional,4,120,65.4128
Conventional,5,1,5.0789
Conventional,5,3,10.7221
Conventional,5,5,13.7329
Conventional,5,10,27.9131
Conventional,5,20,44.2172
Conventional,5,30,51.4677
Conventional,5,45,64.5125
Conventional,5,60,67.9384
Conventional,5,90,71.9084
Conventional,5,120,76.7368
NoTill,1,1,0.1
NoTill,1,3,10.1124
NoTill,1,5,14.2685
NoTill,1,10,25.8484
NoTill,1,20,54.115
NoTill,1,30,66.0345
NoTill,1,45,78.3631
NoTill,1,60,84.3929
NoTill,1,90,90.7432
NoTill,1,120,93.9343
NoTill,2,1,1.0979
NoTill,2,3,13.9356
NoTill,2,5,15.226
NoTill,2,10,29.0403
NoTill,2,20,49.4078
NoTill,2,30,60.0176
NoTill,2,45,75.1288
NoTill,2,60,86.4827
NoTill,2,90,90.4044
NoTill,2,120,102.886
NoTill,3,1,8.5755
NoTill,3,3,14.928
NoTill,3,5,23.6278
NoTill,3,10,30.5854
NoTill,3,20,53.6978
NoTill,3,30,69.0214
NoTill,3,45,83.3581
NoTill,3,60,83.4841
NoTill,3,90,95.3728
NoTill,3,120,102.6967
NoTill,4,1,2.6779
NoTill,4,3,10.9169
NoTill,4,5,24.4259
NoTill,4,10,39.5188
NoTill,4,20,53.9662
NoTill,4,30,68.3267
NoTill,4,45,74.7368
NoTill,4,60,88.3803
NoTill,4,90,97.6964
NoTill,4,120,108.817
NoTill,5,1,0.1
NoTill,5,3,6.4097
NoTill,5,5,8.9372
NoTill,5,10,23.3215
NoTill,5,20,43.2205
NoTill,5,30,58.7909
NoTill,5,45,64.1209
NoTill,5,60,76.2051
NoTill,5,90,88.0045
NoTill,5,120,96.6964
CoverCrop,1,1,1.7422
CoverCrop,1,3,12.2662
CoverCrop,1,5,12.9322
CoverCrop,1,10,27.4838
CoverCrop,1,20,53.5591
CoverCrop,1,30,65.3
CoverCrop,1,45,76.9329
CoverCrop,1,60,86.8613
CoverCrop,1,90,100.6826
CoverCrop,1,120,114.3234
CoverCrop,2,1,6.5659
CoverCrop,2,3,18.0162
CoverCrop,2,5,27.9125
CoverCrop,2,10,35.3816
CoverCrop,2,20,60.757
CoverCrop,2,30,73.9042
CoverCrop,2,45,90.0858
CoverCrop,2,60,97.3257
CoverCrop,2,90,109.4278
CoverCrop,2,120,114.5688
CoverCrop,3,1,6.3769
CoverCrop,3,3,19.9187
CoverCrop,3,5,24.4009
CoverCrop,3,10,36.9719
CoverCrop,3,20,59.2727
CoverCrop,3,30,70.1278
CoverCrop,3,45,85.2634
CoverCrop,3,60,99.9346
CoverCrop,3,90,105.9356
CoverCrop,3,120,104.4762
CoverCrop,4,1,0.1
CoverCrop,4,3,6.7196
CoverCrop,4,5,11.8911
CoverCrop,4,10,25.711
CoverCrop,4,20,53.0643
CoverCrop,4,30,64.89
CoverCrop,4,45,77.1322
CoverCrop,4,60,83.6044
CoverCrop,4,90,104.69
CoverCrop,4,120,109.974
CoverCrop,5,1,4.4913
CoverCrop,5,3,11.0162
CoverCrop,5,5,22.012
CoverCrop,5,10,33.5593
CoverCrop,5,20,55.5871
CoverCrop,5,30,73.1201
CoverCrop,5,45,87.6123
CoverCrop,5,60,93.8186
CoverCrop,5,90,110.2913
CoverCrop,5,120,111.8716
