soil_class,sample_id,solution_P_mg_L,sorbed_P_mg_kg
Sandy,Sandy_1,0.5,18.406
Sandy,Sandy_1,1.0,17.681
Sandy,Sandy_1,2.0,41.617
Sandy,Sandy_1,5.0,92.103
Sandy,Sandy_1,10.0,131.503
Sandy,Sandy_1,20.0,173.521
Sandy,Sandy_1,40.0,190.368
Sandy,Sandy_1,80.0,234.86
Sandy,Sandy_1,120.0,237.864
Sandy,Sandy_2,0.5,17.674
Sandy,Sandy_2,1.0,30.504
Sandy,Sandy_2,2.0,47.531
Sandy,Sandy_2,5.0,65.386
Sandy,Sandy_2,10.0,134.654
Sandy,Sandy_2,20.0,173.487
Sandy,Sandy_2,40.0,211.989
Sandy,Sandy_2,80.0,224.263
Sandy,Sandy_2,120.0,218.758
Sandy,Sandy_3,0.5,8.917
Sandy,Sandy_3,1.0,17.939
Sandy,Sandy_3,2.0,55.8
Sandy,Sandy_3,5.0,94.63
Sandy,Sandy_3,10.0,144.583
Sandy,Sandy_3,20.0,187.609
Sandy,Sandy_3,40.0,217.469
Sandy,Sandy_3,80.0,231.921
Sandy,Sandy_3,120.0,240.128
Sandy,Sandy_4,0.5,18.355
Sandy,Sandy_4,1.0,31.34
Sandy,Sandy_4,2.0,42.221
Sandy,Sandy_4,5.0,88.249
Sandy,Sandy_4,10.0,118.441
Sandy,Sandy_4,20.0,168.462
Sandy,Sandy_4,40.0,192.963
Sandy,Sandy_4,80.0,203.119
Sandy,Sandy_4,120.0,221.57
Loamy,Loamy_1,0.5,15.181
Loamy,Loamy_1,1.0,34.335
Loamy,Loamy_1,2.0,55.379
Loamy,Loamy_1,5.0,122.824
Loamy,Loamy_1,10.0,207.688
Loamy,Loamy_1,20.0,280.884
Loamy,Loamy_1,40.0,366.073
Loamy,Loamy_1,80.0,401.216
Loamy,Loamy_1,120.0,414.886
Loamy,Loamy_2,0.5,16.347
Loamy,Loamy_2,1.0,41.487
Loamy,Loamy_2,2.0,63.369
Loamy,Loamy_2,5.0,151.491
Loamy,Loamy_2,10.0,221.996
Loamy,Loamy_2,20.0,322.674
Loamy,Loamy_2,40.0,364.778
Loamy,Loamy_2,80.0,412.554
Loamy,Loamy_2,120.0,431.392
Loamy,Loamy_3,0.5,28.103
Loamy,Loamy_3,1.0,27.859
Loamy,Loamy_3,2.0,78.994
Loamy,Loamy_3,5.0,119.148
Loamy,Loamy_3,10.0,191.417
Loamy,Loamy_3,20.0,275.447
Loamy,Loamy_3,40.0,323.965
Loamy,Loamy_3,80.0,381.808
Loamy,Loamy_3,120.0,404.874
Loamy,Loamy_4,0.5,16.24
Loamy,Loamy_4,1.0,27.547
Loamy,Loamy_4,2.0,60.435
Loamy,Loamy_4,5.0,127.93
Loamy,Loamy_4,10.0,202.862
Loamy,Loamy_4,20.0,288.464
Loamy,Loamy_4,40.0,331.223
Loamy,Loamy_4,80.0,397.562
Loamy,Loamy_4,120.0,433.111
Clayey,Clayey_1,0.5,56.23
Clayey,Clayey_1,1.0,31.481
Clayey,Clayey_1,2.0,88.22
Clayey,Clayey_1,5.0,177.986
Clayey,Clayey_1,10.0,309.011
Clayey,Clayey_1,20.0,374.317
Clayey,Clayey_1,40.0,530.444
Clayey,Clayey_1,80.0,621.749
Clayey,Clayey_1,120.0,670.489
Clayey,Clayey_2,0.5,24.661
Clayey,Clayey_2,1.0,29.304
Clayey,Clayey_2,2.0,61.47
Clayey,Clayey_2,5.0,174.521
Clayey,Clayey_2,10.0,253.167
Clayey,Clayey_2,20.0,384.994
Clayey,Clayey_2,40.0,517.796
Clayey,Clayey_2,80.0,600.84
Clayey,Clayey_2,120.0,632.389
Clayey,Clayey_3,0.5,23.434
Clayey,Clayey_3,1.0,42.902
Clayey,Clayey_3,2.0,66.286
Clayey,Clayey_3,5.0,148.332
Clayey,Clayey_3,10.0,280.756
Clayey,Clayey_3,20.0,426.009
Clayey,Clayey_3,40.0,526.298
Clayey,Clayey_3,80.0,609.131
Clayey,Clayey_3,120.0,624.775
Clayey,Clayey_4,0.5,45.793
Clayey,Clayey_4,1.0,17.754
Clayey,Clayey_4,2.0,68.341
Clayey,Clayey_4,5.0,185.946
Clayey,Clayey_4,10.0,258.266
Clayey,Clayey_4,20.0,414.775
Clayey,Clayey_4,40.0,528.792
Clayey,Clayey_4,80.0,598.123
Clayey,Clayey_4,120.0,627.547
