texture,core_id,pressure_head_kPa,water_content_cm3_cm3
Sandy,Sandy_1,1.0,0.40442
Sandy,Sandy_1,3.0,0.38923
Sandy,Sandy_1,10.0,0.32965
Sandy,Sandy_1,33.0,0.20202
Sandy,Sandy_1,100.0,0.11007
Sandy,Sandy_1,300.0,0.05856
Sandy,Sandy_1,500.0,0.05695
Sandy,Sandy_1,1000.0,0.05765
Sandy,Sandy_1,1500.0,0.04798
Sandy,Sandy_2,1.0,0.4042
Sandy,Sandy_2,3.0,0.4099
Sandy,Sandy_2,10.0,0.34495
Sandy,Sandy_2,33.0,0.21278
Sandy,Sandy_2,100.0,0.12795
Sandy,Sandy_2,300.0,0.08662
Sandy,Sandy_2,500.0,0.07208
Sandy,Sandy_2,1000.0,0.07358
Sandy,Sandy_2,1500.0,0.06781
Sandy,Sandy_3,1.0,0.39575
Sandy,Sandy_3,3.0,0.39255
Sandy,Sandy_3,10.0,0.33388
Sandy,Sandy_3,33.0,0.19648
Sandy,Sandy_3,100.0,0.10482
Sandy,Sandy_3,300.0,0.06117
Sandy,Sandy_3,500.0,0.05574
Sandy,Sandy_3,1000.0,0.04644
Sandy,Sandy_3,1500.0,0.04729
Sandy,Sandy_4,1.0,0.40398
Sandy,Sandy_4,3.0,0.3909
Sandy,Sandy_4,10.0,0.33298
Sandy,Sandy_4,33.0,0.19998
Sandy,Sandy_4,100.0,0.11375
Sandy,Sandy_4,300.0,0.06835
Sandy,Sandy_4,500.0,0.06128
Sandy,Sandy_4,1000.0,0.05273
Sandy,Sandy_4,1500.0,0.05318
Sandy,Sandy_5,1.0,0.40041
Sandy,Sandy_5,3.0,0.39162
Sandy,Sandy_5,10.0,0.32727
Sandy,Sandy_5,33.0,0.19049
Sandy,Sandy_5,100.0,0.10703
Sandy,Sandy_5,300.0,0.06256
Sandy,Sandy_5,500.0,0.05104
Sandy,Sandy_5,1000.0,0.05417
Sandy,Sandy_5,1500.0,0.05466
Loamy,Loamy_1,1.0,0.46674
Loamy,Loamy_1,3.0,0.45038
Loamy,Loamy_1,10.0,0.43871
Loamy,Loamy_1,33.0,0.37197
Loamy,Loamy_1,100.0,0.25974
Loamy,Loamy_1,300.0,0.17326
Loamy,Loamy_1,500.0,0.15322
Loamy,Loamy_1,1000.0,0.12389
Loamy,Loamy_1,1500.0,0.11286
Loamy,Loamy_2,1.0,0.47758
Loamy,Loamy_2,3.0,0.48167
Loamy,Loamy_2,10.0,0.4516
Loamy,Loamy_2,33.0,0.38208
Loamy,Loamy_2,100.0,0.27755
Loamy,Loamy_2,300.0,0.18545
Loamy,Loamy_2,500.0,0.16358
Loamy,Loamy_2,1000.0,0.13735
Loamy,Loamy_2,1500.0,0.12058
Loamy,Loamy_3,1.0,0.49034
Loamy,Loamy_3,3.0,0.48433
Loamy,Loamy_3,10.0,0.46483
Loamy,Loamy_3,33.0,0.39469
Loamy,Loamy_3,100.0,0.27721
Loamy,Loamy_3,300.0,0.19371
Loamy,Loamy_3,500.0,0.1681
Loamy,Loamy_3,1000.0,0.13477
Loamy,Loamy_3,1500.0,0.1336
Loamy,Loamy_4,1.0,0.47473
Loamy,Loamy_4,3.0,0.47701
Loamy,Loamy_4,10.0,0.44871
Loamy,Loamy_4,33.0,0.39256
Loamy,Loamy_4,100.0,0.26808
Loamy,Loamy_4,300.0,0.18325
Loamy,Loamy_4,500.0,0.15841
Loamy,Loamy_4,1000.0,0.13998
Loamy,Loamy_4,1500.0,0.1203
Loamy,Loamy_5,1.0,0.47721
Loamy,Loamy_5,3.0,0.46929
Loamy,Loamy_5,10.0,0.45837
Loamy,Loamy_5,33.0,0.37726
Loamy,Loamy_5,100.0,0.27001
Loamy,Loamy_5,300.0,0.18846
Loamy,Loamy_5,500.0,0.15724
Loamy,Loamy_5,1000.0,0.13303
Loamy,Loamy_5,1500.0,0.11635
Clayey,Clayey_1,1.0,0.52106
Clayey,Clayey_1,3.0,0.51725
Clayey,Clayey_1,10.0,0.51479
Clayey,Clayey_1,33.0,0.4977
Clayey,Clayey_1,100.0,0.43407
Clayey,Clayey_1,300.0,0.36318
Clayey,Clayey_1,500.0,0.32661
Clayey,Clayey_1,1000.0,0.2802
Clayey,Clayey_1,1500.0,0.26608
Clayey,Clayey_2,1.0,0.52827
Clayey,Clayey_2,3.0,0.51613
Clayey,Clayey_2,10.0,0.51355
Clayey,Clayey_2,33.0,0.48864
Clayey,Clayey_2,100.0,0.42984
Clayey,Clayey_2,300.0,0.35629
Clayey,Clayey_2,500.0,0.31546
Clayey,Clayey_2,1000.0,0.27784
Clayey,Clayey_2,1500.0,0.25501
Clayey,Clayey_3,1.0,0.53339
Clayey,Clayey_3,3.0,0.53372
Clayey,Clayey_3,10.0,0.52446
Clayey,Clayey_3,33.0,0.49753
Clayey,Clayey_3,100.0,0.44583
Clayey,Clayey_3,300.0,0.36202
Clayey,Clayey_3,500.0,0.32645
Clayey,Clayey_3,1000.0,0.29083
Clayey,Clayey_3,1500.0,0.2697
Clayey,Clayey_4,1.0,0.52573
Clayey,Clayey_4,3.0,0.53675
Clayey,Clayey_4,10.0,0.52719
Clayey,Clayey_4,33.0,0.49964
Clayey,Clayey_4,100.0,0.44394
Clayey,Clayey_4,300.0,0.35956
Clayey,Clayey_4,500.0,0.33411
Clayey,Clayey_4,1000.0,0.29229
Clayey,Clayey_4,1500.0,0.26951
Clayey,Clayey_5,1.0,0.52781
Clayey,Clayey_5,3.0,0.52213
Clayey,Clayey_5,10.0,0.51916
Clayey,Clayey_5,33.0,0.49874
Clayey,Clayey_5,100.0,0.43217
Clayey,Clayey_5,300.0,0.36525
Clayey,Clayey_5,500.0,0.32623
Clayey,Clayey_5,1000.0,0.28367
Clayey,Clayey_5,1500.0,0.26722
