function,Rd_example_calls,status
nl_audit,3,PASS
nl_models,3,PASS
nl_model_info,3,PASS
nl_capabilities,3,PASS
nl_data,3,PASS
nl_start,3,PASS
nl_multistart,3,PASS
nl_global_start,3,PASS
nl_fit,3,PASS
nl_fit_many,3,PASS
nl_select,3,PASS
nl_compare,3,PASS
nl_lrt,3,PASS
nl_cv,3,PASS
nl_confint,3,PASS
nl_confregion,3,PASS
nl_boot,3,PASS
nl_predict,3,PASS
nl_diagnose,3,PASS
nl_influence,3,PASS
nl_identify,3,PASS
nl_curvature,3,PASS
nl_contrast,3,PASS
nl_curve_test,3,PASS
nl_derive,3,PASS
nl_robust,3,PASS
nl_quantile,3,PASS
nl_mixed,3,PASS
nl_saemix,3,PASS
nl_bayes,3,PASS
nl_ppcheck,3,PASS
nl_bayes_diagnose,3,PASS
nl_bayes_compare,3,PASS
nl_simulate,4,PASS
nl_plot,3,PASS
nl_plot_diagnostics,3,PASS
nl_table,3,PASS
nl_save_plot,3,PASS
nl_report,3,PASS
nl_teach,3,PASS
nl_tutor,3,PASS
nl_doctor,3,PASS
nl_dynamic,3,PASS
nl_ode_solve,3,PASS
nl_rtmb,3,PASS
nl_ad,3,PASS
nl_bayes_rtmb,3,PASS
nl_bayes_approx,3,PASS
nl_quantile_mixed,3,PASS
nl_quantile_mixed_robust,3,PASS
nl_conformal,3,PASS
nl_conformal_group,3,PASS
nl_measurement_error,3,PASS
nl_mean_variance,3,PASS
nl_censored,3,PASS
nl_truncated,3,PASS
nl_structural_identify,3,PASS
nl_sensitivity,3,PASS
nl_design,3,PASS
nl_next_measurement,3,PASS
nl_state_space,3,PASS
nl_error_decompose,3,PASS
nl_gp_discrepancy,3,PASS
nl_surrogate,3,PASS
nl_surrogate_validate,3,PASS
nl_propagate,3,PASS
nl_abc,3,PASS
nl_symbolic,3,PASS
nl_validate_candidate,3,PASS
nl_discover,3,PASS
nl_discriminate,3,PASS
nl_sequential_discovery,3,PASS
nl_sciml_available,3,PASS
nl_sciml_info,3,PASS
nl_sciml_setup,3,PASS
nl_neural_ode,3,PASS
nl_ude,3,PASS
nl_pinn,3,PASS
nl_missing_physics,3,PASS
nl_ude_discover,3,PASS
nl_sciml_diagnose,3,PASS
nl_dynamic_design,3,PASS
nl_control,3,PASS
